,xc,yc,alpha_in,alpha_out,radius,inclination,position_angle,distance,knots
hd145560_H_pol,73.00038126728609,71.86892419071047,5.171637535988188,-3.2702536772897584,78.34021697148913,44.52578859804502,221.49986048354288,120.44,7.0
hd146897_H_pol,71.67051444491176,72.2054554030841,2.9856125968753533,-1.7520001849707114,67.24651707114256,82.6392507338876,293.89663571648646,131.5,9.0
ceant_H_pol,71.78532809354942,72.39453044284696,4.555254405236615,-1.3090645021848775,24.902884996875134,19.168610321415052,271.0577549912719,34.03,7.0
hd111520_H_pol,73.00027943882255,72.7536420091311,5.86513381531303,-2.4764487973278753,61.46516220430773,84.52954909068528,165.62045527939122,108.94,7.0
hd115600_H_pol,68.29823282651994,72.16240324671779,2.891712349379215,-6.801477854899876,49.970627355851015,69.73315135979398,27.499532178321246,109.62,7.0
hd129590_H_pol,70.48110529569846,72.00410336125421,3.7714021047587254,-1.667063702929696,57.89035652491553,81.8513952961448,121.70030170893958,136.04,9.0
hd117214_H_pol,69.99994437948105,70.00003520801683,4.999957233059847,-4.999986545728763,60.19997863167223,71.00002724066678,359.80047928921647,107.61,11.0
hd35841_H_pol,70.00000686746763,69.99999897261057,5.000000924254391,-4.999996869144978,60.30000080112431,84.89999610312785,345.7999993054711,103.68,7.0
hd30447_H_pol,74.4580330903416,69.5480040900008,5.433901330144343,-2.186321055148319,92.46560479844699,79.5709662248356,32.29036715491085,80.54,7.0
hd32297_H_pol,71.0384600799808,71.88061596721518,7.225749902561364,-2.422823042920717,114.1157073498874,88.02271344496755,47.9000003760764,132.79,13.0
hd110058_H_pol,69.00164943075885,73.48011465429134,2.444804662981607,-5.991214885497047,49.92513258465492,77.23391248327694,335.00000000462103,129.98,5.0
hd111161_H_pol,68.21775017951153,68.31712609377463,2.732373407904824,-4.345903178117547,80.95238117329095,67.80911544409476,263.19992941036634,109.43,7.0
hd157587_H_pol,70.57703609690012,71.94658175035619,8.069945031832921,-2.7981929067769955,78.30955904657671,70.09131907470595,128.28855958679455,100.51,7.0
hr4796a_H_pol,71.54091425410887,69.99999999646724,30.22094039772112,-9.781193137752075,77.09533271365613,76.79866706028686,26.0994335224855,72.78,11.0
hd131835_H_pol,69.99999982495078,74.13980146250803,4.868863662069528,-2.4299630660965033,95.5390593443535,72.55097136268297,61.40042358927047,133.65,7.0
hd106906_H_pol,69.99999338732498,69.70020004485548,2.1259590700009987,-3.2626289288318033,82.96520486090583,82.72782238520958,104.1988935513937,103.33,8.0
hd114082_H_pol,70.00002798921227,70.00003992252404,5.000005947814487,-4.999905402794913,30.70003083774504,83.2999905226777,285.69998669203613,95.65,5.0
hd191089_H_pol,70.0007037383357,50.1213077289561,2.9057773316303943,-14.939455115557744,61.788582778827525,47.30038372975649,70.00009518646353,50.13,13.0
hd156623_H_pol,69.99999849508296,70.00000839380317,4.999969738224398,-5.000003194851438,80.19999216695822,34.90000434096125,280.8998149302655,111.75,11.0
