sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,0.76,1,-0.267273,-0.177099,-22.4073,11.9729,-0.06784,-0.03653,0.055,1.737,-0.339581,-0.000243244,0.00113472,-0.000101727,-0.0037432,-0.00002,0.0362013,-0.00205306,-0.0105534,0.0175567,-0.000691686,-0.0025594,0.00105451,-0.000143356,-0.0125358,-0.0056821,0.000086,-0.00172126,0.000012,-0.0024097,0.00243253,0.0122502,-0.00173747,0.00122382,0.00747075,0.00657926,-0.00450631,-0.00280426,-0.00204863,0.00486709,-0.00254335,0.00117365,0.00207624,0.00410972,0.00125862,0.00181129,-0.00940381,-0.00118837,0.00145393,-0.00379411,-0.00352305,0.000164599,0.00121297,-0.00289929,0.00283753
1,0.76,2,-20.6946,20.2678,-42.8346,32.4178,-0.13072,-0.09842,0.06,0.678,-0.320116,-0.000631316,0.000911925,0.0245125,0.00320055,0.00595922,0.0359091,-0.0149883,-0.012046,0.0177199,0.00185065,-0.000492634,0.000967693,0.00225427,-0.0114504,-0.00389242,-0.00115785,0.000722056,0.0020303,-0.00381988,0.00625266,0.0103447,-0.00287468,0.000397724,0.00668323,0.00500786,-0.00690902,-0.000053,0.000879173,0.00390858,-0.00393072,-0.000182128,0.000192091,0.00164465,-0.00150453,0.00286431,-0.00847908,-0.00144947,0.00165253,-0.00245603,-0.00213863,-0.00141015,0.00186125,-0.00129699,0.00169832
1,0.76,3,-20.7107,-20.6112,-42.8507,-8.4612,-0.13003,0.02435,0.062,6.75,-28.559,-0.000428252,0.000824448,-0.0199617,-0.00838689,-0.00400082,0.031965,-0.00726534,-0.0133731,0.0225112,-0.0049637,0.00249697,0.00212688,0.000085,-0.0133115,-0.00562309,0.00382268,0.00185084,0.00226148,-0.0028719,0.00378013,0.0134816,-0.00237391,0.000504052,0.00873709,0.00649751,-0.00543098,-0.00289765,-0.00203989,0.00403686,-0.00508911,-0.000082,0.00346909,0.00318212,-0.00180819,0.00216149,-0.00935653,-0.00335526,0.00191117,-0.00184444,-0.00145287,0.00041801,0.000079,-0.00115785,0.00229109
1,0.76,4,20.1586,-20.6219,-1.98136,-8.47195,-0.0052,0.02475,0.059,3.085,-12.8358,0.00013322,0.000983452,-0.0200228,-0.00453423,-0.0106648,0.0338695,0.00499499,-0.0174188,0.017659,-0.000686491,0.00342822,0.00271483,-0.00243181,-0.00731045,-0.00537893,0.00233584,0.000239967,-0.000147804,-0.00329372,0.00405565,0.010343,-0.00364003,-0.000707901,0.0053841,0.00669447,-0.00568472,-0.00141241,0.000976644,0.00472956,-0.00347412,-0.000508026,0.00219547,0.00320782,-0.000804254,0.00129939,-0.00786837,-0.001797,0.00226088,-0.00264437,-0.00162061,-0.000776595,0.000951428,-0.000732314,0.00178087
1,0.76,5,20.1757,20.2527,-1.96427,32.4027,-0.00522,-0.0981,0.061,0.591,-1.23743,-0.000092,0.00140145,0.0298061,-0.00138429,0.00120013,0.0400704,0.00540527,-0.00883532,0.0165233,0.00117641,-0.000367764,0.00349686,0.00171606,-0.0128908,-0.00684089,0.00019659,-0.000544171,0.000592794,-0.000978991,0.00157881,0.0114322,-0.00426973,0.000767577,0.00861441,0.00494489,-0.00640256,-0.00100198,-0.00134045,0.00492456,-0.00294611,-0.000284144,0.00264732,0.00257575,0.00160581,0.00218025,-0.00976176,-0.00101516,0.00224149,-0.00341943,-0.00228008,0.000651188,0.00199185,-0.00198748,0.00187531
1,0.869,1,-0.267435,-0.177015,-22.4074,11.973,-0.06784,-0.03653,0.048,1.519,-0.299165,-0.000211833,0.000983314,-0.000645941,-0.00326218,-0.000047,0.0316576,-0.00180675,-0.00922592,0.0153513,-0.00061125,-0.00222498,0.000917415,-0.000138754,-0.0109592,-0.00496847,0.000076,-0.00150552,0.000009,-0.00210633,0.00212751,0.0107146,-0.00152035,0.00106852,0.0065342,0.00575327,-0.00394107,-0.00245252,-0.00179348,0.0042573,-0.00222508,0.00102666,0.00181581,0.00359423,0.00110074,0.0015841,-0.00822554,-0.0010379,0.00127258,-0.0033182,-0.00308115,0.000143951,0.00106082,-0.00253563,0.00248161
1,0.869,2,-20.6949,20.2681,-42.8349,32.4181,-0.13072,-0.09842,0.052,0.593,-0.282099,-0.000550088,0.000789789,0.0208843,0.0027923,0.00517863,0.0313988,-0.0131243,-0.0105327,0.0154937,0.00161221,-0.000417537,0.000841748,0.00195808,-0.0100098,-0.00340333,-0.00101139,0.000631437,0.00177379,-0.00333957,0.00546846,0.00904844,-0.00251472,0.000345911,0.00584549,0.00437891,-0.00604241,-0.000047,0.000767297,0.00341892,-0.00343865,-0.000159115,0.000167993,0.00143836,-0.00131582,0.00250505,-0.00741668,-0.0012662,0.00144631,-0.00214796,-0.00187037,-0.00123326,0.00162779,-0.0011343,0.0014853
1,0.869,3,-20.711,-20.6113,-42.851,-8.46126,-0.13003,0.02435,0.054,5.904,-24.9791,-0.000372104,0.000709999,-0.0180589,-0.00731299,-0.00353893,0.0279564,-0.00637049,-0.0116906,0.0196847,-0.00434775,0.00219738,0.00185549,0.000061,-0.0116373,-0.00491671,0.00334421,0.00161859,0.00197577,-0.00251053,0.00330604,0.0117912,-0.00207662,0.000439247,0.00764179,0.00568182,-0.00474975,-0.00253417,-0.00178631,0.00353126,-0.0044515,-0.000072,0.00303397,0.00278298,-0.00158138,0.00189037,-0.00818414,-0.00293281,0.00167246,-0.00161307,-0.00127063,0.000365573,0.000069,-0.00101261,0.00200372
1,0.869,4,20.1586,-20.622,-1.98137,-8.47201,-0.0052,0.02475,0.052,2.698,-11.228,0.000116545,0.000849423,-0.0180914,-0.00394948,-0.00935227,0.0296214,0.00436188,-0.0152288,0.0154412,-0.000606886,0.00301185,0.0023692,-0.00214025,-0.00638938,-0.00470336,0.00204394,0.00020964,-0.00013114,-0.00287945,0.00354706,0.00904631,-0.00318445,-0.00062071,0.00470926,0.00585408,-0.00497167,-0.00123525,0.000852041,0.00413703,-0.0030389,-0.000444009,0.00192009,0.00280546,-0.000703377,0.00113641,-0.00688287,-0.00157021,0.00197831,-0.00231268,-0.00141734,-0.000679181,0.00083209,-0.000640458,0.00155749
1,0.869,5,20.1757,20.2529,-1.96429,32.4029,-0.00522,-0.0981,0.053,0.515,-1.08442,-0.00008,0.00121799,0.0255351,-0.00119601,0.00103129,0.0350377,0.00472132,-0.00772462,0.014447,0.00102272,-0.000308312,0.00305327,0.00148766,-0.0112699,-0.00598203,0.000173241,-0.000476224,0.00051678,-0.000855087,0.00138089,0.00999945,-0.00373522,0.000669403,0.0075343,0.00432391,-0.00559947,-0.000876297,-0.00117368,0.00430746,-0.00257731,-0.000248062,0.00231526,0.00225267,0.00140439,0.00190679,-0.00853866,-0.000886542,0.00196139,-0.00299052,-0.00199408,0.000569509,0.00174201,-0.00173819,0.00164009
