sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,1,1,-0.0941391,-14.3839,-22.2341,-2.23395,-0.06784,-0.03653,0.056,1.341,-0.280988,-0.000296876,-0.000025,-0.0259713,-0.0102054,0.0113106,0.0274679,-0.00198047,-0.0148789,0.0165004,-0.00100469,0.000483028,-0.00135855,-0.00629141,-0.011627,-0.00437815,-0.00226669,-0.00122886,-0.000511565,-0.00162538,0.00192213,0.0104934,-0.00156666,0.000487403,0.00575651,0.0049876,-0.00347494,-0.00231625,-0.00204122,0.00379767,-0.00218988,0.00104216,0.00164708,0.00312696,0.000800157,0.00138063,-0.00736384,-0.000691708,0.00125052,-0.00276596,-0.00269966,-0.000045,0.000869602,-0.00207289,0.00216939
1,1,2,-20.2453,5.83039,-42.3853,17.9804,-0.13072,-0.09842,0.092,0.755,-0.35127,-0.00107402,-0.000101264,-0.0353559,-0.0506724,0.0455023,0.0266905,-0.0142828,-0.0159658,0.0159884,0.0012135,0.00179306,-0.000813476,-0.00467514,-0.0108503,-0.00314802,-0.00356223,0.000510734,0.00116204,-0.00249161,0.00466999,0.0090938,-0.00236646,-0.000043,0.00513983,0.00342799,-0.00514082,0.000079,0.000049,0.00313132,-0.00314063,-0.000179093,0.000072,0.00137471,-0.00120686,0.00213006,-0.00705387,-0.000759614,0.0014677,-0.00208713,-0.00165683,-0.000912312,0.00151821,-0.000975564,0.00128649
1,1,3,-20.2971,-34.6676,-42.4371,-22.5176,-0.13003,0.02435,0.065,5.086,-23.0733,-0.000674091,0.000849741,-0.0125457,-0.0262981,-0.0312114,0.0249402,-0.00930563,-0.0146402,0.0208527,-0.00469483,0.00502822,-0.00032596,-0.00665527,-0.0123025,-0.00457141,0.000616381,0.00142845,0.00126797,-0.00192722,0.00295997,0.0114191,-0.00205322,0.00027128,0.00668593,0.00455092,-0.00392429,-0.00233456,-0.00209947,0.00315056,-0.00407262,-0.000102063,0.00269914,0.00247047,-0.00138376,0.00155327,-0.0073519,-0.00198039,0.00157042,-0.00169472,-0.00111203,0.000213808,0.000229287,-0.000768778,0.00169577
1,1,4,20.1039,-34.6547,-2.03605,-22.5047,-0.0052,0.02475,0.06,2.282,-10.3282,0.000562171,0.000711069,-0.0126929,0.0243586,-0.0239621,0.0259822,0.00613121,-0.0197689,0.0161072,-0.00203097,0.00567926,-0.000501859,-0.00827421,-0.00765516,-0.00390956,-0.000576335,0.000142757,-0.000396626,-0.00227671,0.00315854,0.00896264,-0.00291675,-0.000612365,0.0042071,0.00492078,-0.00426391,-0.00103468,0.000141957,0.003732,-0.00264914,-0.000365921,0.00170174,0.00244065,-0.000675593,0.000924763,-0.00669837,-0.000797209,0.00195931,-0.00209407,-0.00121633,-0.000523842,0.000742732,-0.000832173,0.00137563
1,1,5,20.1146,5.86486,-2.02544,18.0149,-0.00522,-0.0981,0.089,0.547,-1.10756,0.00031729,-0.000342457,-0.0347276,0.0244072,0.0585666,0.0296474,0.00681956,-0.0157267,0.0157607,0.0010323,0.00172557,0.000168254,-0.00490793,-0.0118486,-0.00497188,-0.00246612,-0.000409923,0.000144673,-0.000489599,0.00113829,0.00991224,-0.00343751,0.000142128,0.0066313,0.00355135,-0.00479427,-0.000817732,-0.00148891,0.00391207,-0.00232154,-0.000081,0.00191089,0.00196628,0.0013201,0.0016531,-0.00767242,-0.000571181,0.00193515,-0.00266017,-0.00174237,0.000433861,0.0015299,-0.00148251,0.00144041
1,1.25,1,-0.0952842,-14.2927,-22.2353,-2.14271,-0.06784,-0.03653,0.052,1.073,-0.235995,0.000109348,0.000164092,-0.0334745,-0.00856233,0.00912007,0.0228559,-0.00160915,-0.0118653,0.0131794,-0.000817864,0.000389091,-0.00107885,-0.00501528,-0.00928646,-0.00350172,-0.00180255,-0.0009834,-0.00040785,-0.00129998,0.00153782,0.00838836,-0.00125214,0.000392251,0.00460403,0.00398941,-0.00277875,-0.00185237,-0.00163577,0.00303787,-0.00175062,0.000833775,0.00131769,0.00250163,0.000640042,0.00110389,-0.00589503,-0.000550748,0.00100196,-0.00221331,-0.00216091,-0.000035,0.000696976,-0.0016582,0.00173462
1,1.25,2,-20.2481,5.92283,-42.3881,18.0728,-0.13072,-0.09842,0.08,0.605,-0.328357,0.000242569,0.00281844,-0.0408979,-0.0413171,0.0367804,0.0222181,-0.011455,-0.012737,0.0127648,0.000955445,0.00143731,-0.00064373,-0.00372208,-0.00866435,-0.00251598,-0.00283623,0.000408023,0.000930743,-0.00199352,0.00373655,0.0072694,-0.00189127,-0.000033,0.00411143,0.00274245,-0.00411207,0.000064,0.000038,0.00250522,-0.00251171,-0.000143728,0.000059,0.00109967,-0.000965316,0.0017042,-0.00564499,-0.000605604,0.0011762,-0.00166956,-0.00132586,-0.000729634,0.00121503,-0.000780394,0.00102848
1,1.25,3,-20.2995,-34.5769,-42.4395,-22.4269,-0.13003,0.02435,0.057,4.052,-18.454,0.000852867,0.000917168,-0.0230662,-0.0217946,-0.0252535,0.0208638,-0.00747183,-0.0116784,0.0166586,-0.0037692,0.0040257,-0.000251568,-0.00530587,-0.00982623,-0.00365442,0.000502184,0.00114354,0.00101699,-0.00154109,0.00236672,0.00912635,-0.0016392,0.000221238,0.00534746,0.00363996,-0.00313893,-0.00186573,-0.00168229,0.00252055,-0.00325575,-0.000081,0.00215993,0.00197576,-0.00110695,0.00124137,-0.00588609,-0.00158082,0.00125961,-0.00135383,-0.00089227,0.000171374,0.00018338,-0.00061574,0.00135599
1,1.25,4,20.1042,-34.5643,-2.03578,-22.4143,-0.0052,0.02475,0.053,1.81,-8.25635,0.000344879,0.000166307,-0.0230584,0.0194163,-0.0194449,0.0217241,0.00488326,-0.0158033,0.0128738,-0.00160443,0.00451685,-0.000396035,-0.00657177,-0.00610341,-0.00312929,-0.000425154,0.00011917,-0.000345896,-0.00182782,0.00255507,0.00717244,-0.00233627,-0.000516335,0.00337028,0.00396575,-0.00341823,-0.000855969,0.000143097,0.00298285,-0.00214618,-0.000288123,0.00138868,0.00194555,-0.000567617,0.000748266,-0.00533473,-0.000661842,0.00156574,-0.0016487,-0.000969135,-0.000444572,0.000587867,-0.000640387,0.00110916
1,1.25,5,20.1149,5.95702,-2.02515,18.107,-0.00522,-0.0981,0.076,0.454,-0.925786,-0.000386097,0.00171192,-0.040256,0.019479,0.0472385,0.0245768,0.0054339,-0.0125383,0.0125898,0.000811126,0.00138348,0.000142424,-0.00390832,-0.00946383,-0.00397817,-0.00195992,-0.000328022,0.00011652,-0.000391747,0.000910787,0.00792406,-0.00274976,0.000115163,0.00530427,0.00284103,-0.00383526,-0.000653875,-0.00119264,0.00312887,-0.00185673,-0.000065,0.00152902,0.00157298,0.00105559,0.0013222,-0.00614003,-0.000455205,0.00154857,-0.00212804,-0.00139458,0.000347328,0.00122425,-0.00118625,0.00115206
